Status DB;comment;Channel;Account;Gruppe;Region;Verbund/Gruppe;Verbund 2/Gruppe 2;Strecken GH#;Payer#;Customer#;Name;Name Zusatz;street;ZIP-code;City;"new
Respons.";BuLand Abladestelle;Scoring;Plant;TSP;RegFT;Vorverladung;CallPlan;Anrufzeit;24/48er;EDI/TEL/FAX;EDI via BATconnect;delivery Prio;Call freq.;Mo;Di;Mi;Do;Fr;Sandwichpaletten;Abschlichten Originalpaletten;Kommivorgabe;"Sortenrein
ab 4ten cs";Shipping Instructions;"ZF Buchung
(Transporeon o andere)";"Info ordercuts
yes/no/summarized";"Info new GTIN
y/n/confirmation needed";nan;"only full MC
(exceptional tail brands)
yes/no";Hebebühne erforderlich;EuPal Pflicht?;Anlieferzeit;Kundeneigener WE Beleg;DDN live;DDN M@il;DESADV;GLN;EO-ID;F-ID;KAM;"CL
k €";BATconnect Sortiment;"Anzahl
Verkaufsstellen";Vorlauf regulär;"Tender
commitment to 48hrs
leadtime";check;SB bis 16.12.24;Calls pW;"old
Respons.
-10.3.25"
inaktiv;Geschlossen ab 31.12.2023;Grocery;Aldi Nord;;;;;50035180;50035180;50035180;ALDI GmbH & Co. KG;SBZ;Hinrichskrog 1;23684;Scharbeutz;;01 - Schleswig-Holstein;;DE54;;;;Nein;06:25:00;48er;Fax/Mail;;0;01;X;;;;;Nein;Nein;;;;no;;;;yes;;;;;NEIN;;;;QCBDR+1DE982118;QCBDR<1DE982118592681;Sven Weber;;;;;;;MH;1;MR
aktiv;;Grocery;Aldi Nord;;116;;;50034029;50034029;50034029;ALDI SE & Co. KG;BAR;Max-Planck-Str. 3;22941;Bargteheide;MartaM;01 - Schleswig-Holstein;;DE54;;;;Ja;06:25:00;48er;Fax/Mail;;0;01;X;;;;;Nein;Nein;;;;yes;;;;yes;;;06:00 - 13:00;;JA;;;;QCBDR+1DE298701;QCBDR<1DE298701329293;Sven Weber;;;134;;;;CD;1;MR
aktiv;;Grocery;Aldi Nord;;132;;;50098331;50098331;50098331;ALDI SE & Co. KG;DAT;Emscher-Lippe-Str. 6;45711;Datteln;MartaR;06 - Hessen;;DE56;;;;Ja;06:25:00;48er;Fax/Mail;;;;;X;;;;Nein;Nein;;;;yes;;;;yes;;;06:00 - 13:00;;JA;;;;QCBDR+1DE665039;QCBDR<1DE665039938751;Sven Weber;;;122;;;;CK;1;CB
aktiv;;Grocery;Aldi Nord;;120;;;50034206;50034206;50034206;ALDI SE & Co. KG;GRO;Osdorfer Ring 21;14979;Großbeeren;Dariusz;12 - Brandenburg;;DE53;;;;Ja;06:25:00;48er;Fax/Mail;;0;01;;;X;;;Nein;Nein;;;;no;;;;yes;;;06:00 - 13:00;;NEIN;;;;QCBDR+1DE833977;QCBDR<1DE833977777197;Sven Weber;;;115;;;;CD;1;MH
aktiv;;Grocery;Aldi Nord;;110;;;50034233;50034233;50034233;ALDI SE & Co. KG;MÜN;Graseweg 4;34346;Hann-Münden;Waleria;03 - Niedersachsen;;DE30;HAJ;;;Ja;06:25:00;48er;Fax/Mail;;0;01;X;;;;;Nein;Nein;;;;yes;;;;yes;;;07:00 - 13:00;;NEIN;;;400880707;QCBDR+1DE216543;QCBDR<1DE216543407490;Sven Weber;;;105;;;;CB;1;MR
aktiv;seit 01.09.2024 -> Am Schwarzen Kamp1 31275 Lehrte (Aligse) ehemals Sievershausen;Grocery;Aldi Nord;;106;;;50035255;50035255;50035255;ALDI SE & Co. KG;SIE;Am Schwarzen Kamp1;31275;Lehrte (Aligse/Sievershause);Waleria;03 - Niedersachsen;;DE30;HAJ;;;Ja;06:25:00;48er;Fax/Mail;;2;01;;X;;;;Nein;Nein;;;;yes;;;;yes;;;07:00 - 13:00;;NEIN;;;;QCBDR+1DE949516;QCBDR<1DE949516412969;Sven Weber;;;135;;;;AW;1;CK
aktiv;;Grocery;Aldi Nord;;125;;;50115775;50115775;50115775;ALDI SE & Co. KG;LIN;Am Seitenkanal 2-4;49811;Lingen;Krystian;03 - Niedersachsen;;DE56;;;;Ja;06:25:00;48er;Fax/Mail;;2;01;;;X;;;Nein;Nein;;;;yes;;;;yes;;;ZF Buchung;;NEIN;;;;QCBDR+1DE654045;QCBDR<1DE654045045941;Sven Weber;;;107;;;;CB;1;CK
aktiv;;Grocery;Aldi Nord;;104;;;50034573;50034573;50034573;ALDI SE & Co. KG;NOR;Timmasper Weg 28;24589;Nortorf;MartaM;01 - Schleswig-Holstein;;DE54;;;;Ja;06:25:00;48er;Fax/Mail;;2;01;X;;;;;Nein;Nein;;;;yes;;;;yes;;;06:00 - 13:00;;NEIN;;;4306286168;QCBDR+1DE906270;QCBDR<1DE906270370344;Sven Weber;;;148;;;;CD;1;CK
aktiv;;Grocery;Aldi Nord;;102;;;50085335;50085335;50085335;ALDI SE & Co. KG;RAD;Feldmannshaus 6;42477;Radevormwald;Wioletta;06 - Hessen;;DE56;;;;Ja;06:25:00;48er;Fax/Mail;;;WO;;X;;;;Nein;Nein;;;;yes;;;;yes;;;06:00 - 13:00;;JA;;;43062866405;QCBDR+1DE428578;QCBDR<1DE428578425346;Sven Weber;;;108;;;;CK;1;SdS
aktiv;;Grocery;Aldi Nord;;103;;;50034591;50034591;50034591;ALDI SE & Co. KG;SEE;Osterberg 11;21220;Seevetal;MartaM;03 - Niedersachsen;;DE54;;;;Ja;06:25:00;48er;Fax/Mail;;0;01;;X;;;;Nein;Nein;;;;yes;;;;yes;;;06:00 - 13:00;;JA;;;43062866399;QCBDR+1DE251087;QCBDR<1DE251087245138;Sven Weber;;;116;;;;MH;1;MH
aktiv;;Grocery;Aldi Nord;;113;;;50133651;50133651;50133651;ALDI SE & Co. KG;WER;Runtestr. 11;59457;Werl;Wioletta;05 - Nordrhein-Westfalen;;DE56;;;;Ja;06:25:00;48er;Fax/Mail;;2;01;X;;;;;Nein;Nein;;;;yes;;;;yes;;;ZF Buchung;;JA;;;43062866474;QCBDR+1DE982293;QCBDR<1DE982293506403;Sven Weber;;;102;;;;MR;1;MH
aktiv;;Grocery;Aldi Nord;;124;;;50034451;50034451;50034451;ALDI SE & Co. KG;SEF;Kastanienstr. 2-4;16356;Werneuchen (Seefeld);Dariusz;12 - Brandenburg;;DE53;;;;Ja;06:25:00;48er;Fax/Mail;;0;01;X;;;;;Nein;Nein;;;;no;;;;yes;;;06:00 - 13:00;;NEIN;;;40313001363;QCBDR+1DE759694;QCBDR<1DE759694180819;Sven Weber;;;121;;;;CD;1;MK
aktiv;;Grocery;Aldi Nord;;107;;;50115668;50115668;50115668;ALDI SE & Co. KG;WEY;Industriestr. 16;28844;Weyhe;Dariusz;03 - Niedersachsen;;DE54;;;;Ja;06:25:00;48er;Fax/Mail;;2;01;X;;;;;Nein;Nein;;;;no;;;;yes;;;07:00 - 14:00;;NEIN;;;;QCBDR+1DE386411;QCBDR<1DE386411007106;Sven Weber;;;103;;;;CK;1;CB
aktiv;;Grocery;Aldi Nord;;136;;;50034298;50034298;50034298;ALDI SE & Co. KG;WILL;Hühndorfer Höhe 4;1723;Wilsdruff;MartaR;14 - Sachsen;;DE30;DE57;;;Ja;06:25:00;48er;Fax/Mail;;0;01;;X;;;;Nein;Nein;;;;yes;;;;yes;;;06:00 - 14:00;;JA;;;;QCBDR+1DE942185;QCBDR<1DE942185678220;Sven Weber;;;124;;;;MH;1;
aktiv;Umzug ab 01.12.2023 von SchloßHolte nach Paderborn;Grocery;Aldi Nord;;105;;;50057480;50057480;50057480;ALDI SE & Co. KG Schloß-Holte;SHO;Halberstädter Straße 40;33106;Paderborn (Schloß-Holte);Wioletta;05 - Nordrhein-Westfalen;;DE30;Bielefeld;;;Ja;06:25:00;48er;Fax/Mail;;;1;;;;;X;Nein;Nein;;;;no;;;;yes;;;08:00 - 14:00;;NEIN;;;;QCBDR+1DE253620;QCBDR<1DE253620584829;Sven Weber;;;146;;;;AW;1;MK
aktiv;;Grocery;Aldi Süd;;;;;52046922;52046922;52046922;ALDI GmbH & Co. KG;;Humboldtstraße 38-44;50171;Kerpen;MartaR;05 - Nordrhein-Westfalen;;DE56;;;;Ja;06:21:00;48er;EDI;;;WO;;;;;X;Nein;Nein;;;;no;;;;yes;;;06:30 - 14:00;;JA;;JA;4099200045474;QCBDR+1DE917529;QCBDR<1DE917529469983;Sven Weber;;;;;;;SdS;1;SdS
aktiv;;Grocery;Aldi Süd;;;;;52046818;52046818;52046818;ALDI GmbH & Co. KG;;Rosengartenweg 11;67281;Kirchheim;AnnaS;07 - Rheinland-Pfalz;;DE58;;;;Ja;06:21:00;48er;EDI;;;WO;;;;;X;Nein;Nein;;;;no;;;;yes;;;06:30 - 14:00;;NEIN;;JA;4099200045634;QCBDR+1DE773769;QCBDR<1DE773769979638;Sven Weber;;;;;;;AW;1;CK
aktiv;;Grocery;Aldi Süd;;;;;52047056;52047056;52047056;ALDI GmbH & Co. KG;;Messerschmittstraße 2;86507;Kleinaitingen;Wioletta;09 - Bayern;;DE52;;;;Ja;06:21:00;48er;EDI;;;WO;;;;;X;Nein;Nein;;;;no;;;;yes;;;06:30 - 14:00;;NEIN;;JA;4099200045665;QCBDR+1DE115773;QCBDR<1DE115773957927;Sven Weber;;;;;;;MK;1;MR
aktiv;;Grocery;Aldi Süd;;;;;52047009;52047009;52047009;ALDI GmbH & Co. KG;;Karl-Benz-Straße 4-6;40764;Langenfeld;MartaR;05 - Nordrhein-Westfalen;;DE56;;;;Ja;06:21:00;48er;EDI;;;WO;;;;;X;Nein;Nein;;;;no;;;;yes;;;06:30 - 14:00;;JA;;JA;4099200045542;QCBDR+1DE461376;QCBDR<1DE461376409632;Sven Weber;;;;;;;AW;1;SdS
aktiv;;Grocery;Aldi Süd;;;;;51920534;51920534;51920534;ALDI GmbH & Co. KG;;Am Seegraben 16;63505;Langenselbold;AnnaS;06 - Hessen;;DE58;;;;Ja;06:21:00;48er;EDI;;;WO;;;;;X;Nein;Nein;;;;no;;;;yes;;;06:30 - 14:00;;JA;;JA;4099200045481;QCBDR+1DE243648;QCBDR<1DE243648617930;Sven Weber;;;;;;;SdS;1;SdS
aktiv;;Grocery;Aldi Süd;;;;;52047008;52047008;52047008;ALDI GmbH & Co. KG;;Korschenbroicher Straße 605;41065;Mönchengladbach;MartaR;05 - Nordrhein-Westfalen;;DE56;;;;Ja;06:21:00;48er;EDI;;;WO;;;;;X;Nein;Nein;;;;no;;;;yes;;;06:30 - 14:00;;JA;;JA;4099200045436;QCBDR+1DE832294;QCBDR<1DE832294256307;Sven Weber;;;;;;;MR;1;SdS
aktiv;;Grocery;Aldi Süd;;;;;52047043;52047043;52047043;ALDI GmbH & Co. KG;;Hessenring 1-3;64546;Mörfelden-Walldorf;AnnaS;06 - Hessen;;DE58;;;;Ja;06:21:00;48er;EDI;;;WO;;;;;X;Nein;Nein;;;;no;;;;yes;;;06:30 - 14:00;;JA;;JA;4099200045443;QCBDR+1DE980025;QCBDR<1DE980025062740;Sven Weber;;;;;;;MR;1;MK
aktiv;;Grocery;Aldi Süd;;;;;52047063;52047063;52047063;ALDI GmbH & Co. KG;;Lehmgrube 5;71711;Murr;Dariusz;08 - Baden-Württemberg;;DE30;DE59;;;Ja;06:21:00;48er;EDI;;;WO;;;;;X;Nein;Nein;;;;no;;;;yes;;;06:30 - 14:00;;JA;;JA;4099200045597;QCBDR+1DE380861;QCBDR<1DE380861132907;Sven Weber;;;;;;;MH;1;MH
aktiv;;Grocery;Aldi Süd;;;;;51920743;51920743;51920743;ALDI GmbH & Co. KG;;Im Wöhr 7-9;76437;Rastatt;Dariusz;08 - Baden-Württemberg;;DE30;DE59;;;Ja;06:21:00;48er;EDI;;;WO;;;;;X;Nein;Nein;;;;no;;;;yes;;;06:30 - 14:00;;JA;;JA;4099200045511;QCBDR+1DE825544;QCBDR<1DE825544900642;Sven Weber;;;;;;;MH;1;SdS
aktiv;;Grocery;Aldi Süd;;;;;52046912;52046912;52046912;ALDI GmbH & Co. KG;;Benzstraße 11;93128;Regenstauf;Waleria;09 - Bayern;;DE52;;;;Ja;06:21:00;48er;EDI;;;WO;;;;X;;Nein;Nein;;;;no;;;;yes;;;06:30 - 14:00;;JA;wareneingang.reg@aldi-sued.de;JA;4099200045504;QCBDR+1DE762072;QCBDR<1DE762072126614;Sven Weber;;;;;;;MK;1;MH
aktiv;;Grocery;Aldi Süd;;;;;51920761;51920761;51920761;ALDI GmbH & Co. KG;;An der Rheinberger Heide 11;47495;Rheinberg;Krystian;05 - Nordrhein-Westfalen;;DE56;;;;Ja;06:21:00;48er;EDI;;;WO;;;;;X;Nein;Nein;;;;no;;;;yes;;;06:30 - 14:00;;JA;;JA;4099200045627;QCBDR+1DE334077;QCBDR<1DE334077145489;Sven Weber;;;;;;;AW;1;MK
aktiv;;Grocery;Aldi Süd;;;;;52046921;52046921;52046921;ALDI GmbH & Co. KG;;Im Mittelfeld 11;53757;Sankt Augustin;Krystian;05 - Nordrhein-Westfalen;;DE56;;;;Ja;06:21:00;48er;EDI;;;WO;;;;;X;Nein;Nein;;;;no;;;;yes;;;06:30 - 14:00;;JA;;JA;4099200045603;QCBDR+1DE389976;QCBDR<1DE389976022658;Sven Weber;;;;;;;SdS;1;AW
aktiv;;Grocery;Aldi Süd;;;;;52047060;52047060;52047060;ALDI SE & Co. KG;;Edisonstraße 12;41542;Dormagen;Krystian;05 - Nordrhein-Westfalen;;DE56;;;;Ja;06:21:00;48er;EDI;;;WO;;;;;X;Nein;Nein;;;;no;;;;yes;;;06:30 - 14:00;;JA;;JA;4099200045658;QCBDR+1DE462717;QCBDR<1DE462717402907;Sven Weber;;;;;;;MR;1;MH
aktiv;;Grocery;Aldi Süd;;;;;52047057;52047057;52047057;ALDI SE & Co. KG Adelsdorf;;Holzäckerstraße 1;91325;Adelsdorf;Wioletta;09 - Bayern;;DE52;;;;Ja;06:21:00;48er;EDI;;;WO;;;;;X;Nein;Nein;;;;no;;;;yes;;;06:30 - 14:00;;JA;;JA;4099200045405;QCBDR+1DE635228;QCBDR<1DE635228963987;Sven Weber;;;;;;;CK;1;SdS
aktiv;;Grocery;Aldi Süd;;;;;52046924;52046924;52046924;ALDI SE & Co. KG Aichtal;;Riedstraße 8-12;72631;Aichtal;Wioletta;08 - Baden-Württemberg;;DE30;DE59;;;Ja;06:21:00;48er;EDI;;;WO;;;;;X;Nein;Nein;;;;no;;;;yes;;;06:30 - 14:00;;JA;;JA;4099200045467;QCBDR+1DE807289;QCBDR<1DE807289900234;Sven Weber;;;;;;;MH;1;AW
aktiv;;Grocery;Aldi Süd;;;;;52047017;52047017;52047017;ALDI SE & Co. KG Bingen;;An den Steinäckern 1;55411;Bingen;Waleria;07 - Rheinland-Pfalz;;DE58;;;;Ja;06:21:00;48er;EDI;;WO;WO;;;;;X;Nein;Nein;;;;no;;;;yes;;;06:30 - 14:00;;JA;;JA;4099200045573;QCBDR+1DE659924;QCBDR<1DE659924442209;Sven Weber;;;;;;;AW;1;CK/MK/MH/AW/SdS/CD/CB/MR
aktiv;;Grocery;Aldi Süd;;;;;52047016;52047016;52047016;ALDI SE & Co. KG Bous;;Am Bommersbacher Hof 1-5;66359;Bous;MartaM;10 - Saarland;;DE58;;Saarland Mariä Himmelfahrt;;Ja;06:21:00;48er;EDI;;;WO;;;;;X;Nein;Nein;;;;no;;;;yes;;;06:30 - 14:00;;JA;;JA;4099200045429;QCBDR+1DE477707;QCBDR<1DE477707971679;Sven Weber;;;;;;;SdS;1;CK/MK/MH/AW/SdS/CD/CB/MR
aktiv;;Grocery;Aldi Süd;;;;;52047053;52047053;52047053;ALDI SE & Co. KG Butzbach;;In der Alböhn 1;35510;Butzbach;MartaM;06 - Hessen;;DE58;;;;Ja;06:21:00;48er;EDI;;;WO;;;;;X;Nein;Nein;;;;no;;;;yes;;;06:30 - 14:00;;JA;;JA;4099200045641;QCBDR+1DE541993;QCBDR<1DE541993983410;Sven Weber;;;;;;;SdS;1;MR
aktiv;Änderung aufDi durch KN in 0124 angefragt + bestätigt;Grocery;Aldi Süd;;;;;52047044;52047044;52047044;ALDI SE & Co. KG Donaueschingen;;Pfohrener Straße 50;78166;Donaueschingen;Krystian;08 - Baden-Württemberg;;DE30;DE59;;;Ja;06:21:00;48er;EDI;;;WO;;X;;;;Nein;Nein;;;;no;;;;yes;;;06:30 - 14:00;;JA;;JA;4099200045450;QCBDR+1DE665284;QCBDR<1DE665284500620;Sven Weber;;;;;;;MH;1;MR
aktiv;;Grocery;Aldi Süd;;;;;51920732;51920732;51920732;ALDI SE & Co. KG Ebersberg;;Anzinger Straße 6;85560;Ebersberg;Waleria;09 - Bayern;;DE52;;;;Ja;06:21:00;48er;EDI;;2;WO;;;;;X;Nein;Nein;;;;no;;;;yes;;;06:30 - 14:00;;NEIN;;JA;4099200045498;QCBDR+1DE464220;QCBDR<1DE464220851685;Sven Weber;;;;;;;CK;1;MR
aktiv;;Grocery;Aldi Süd;;;;;52046923;52046923;52046923;Aldi SE & Co. KG Eschweiler;;Mariadorfer Straße 1;52249;Eschweiler;Wioletta;05 - Nordrhein-Westfalen;;DE56;;;;Ja;06:21:00;48er;EDI;;;WO;;;;;X;Nein;Nein;;;;no;;;;yes;;;06:30 - 14:00;;JA;;JA;4099200045412;QCBDR+1DE907012;QCBDR<1DE907012492895;Sven Weber;;;;;;;MR;1;MK
aktiv;;Grocery;Aldi Süd;;;;;52047061;52047061;52047061;ALDI SE & Co. KG Geisenfeld;;Römerstraße 2;85290;Geisenfeld;Waleria;09 - Bayern;;DE52;;;;Ja;06:21:00;48er;EDI;;;WO;;;;;X;Nein;Nein;;;;no;;;;yes;;;06:30 - 14:00;;NEIN;;JA;4099200045610;QCBDR+1DE501702;QCBDR<1DE501702869248;Sven Weber;;;;;;;MK;1;MR
aktiv;;Grocery;Aldi Süd;;;;;52046962;52046962;52046962;ALDI SE & Co. KG Helmstadt;;Würzburger Straße 56;97264;Helmstadt;MartaM;09 - Bayern;;DE58;;;;Ja;06:21:00;48er;EDI;;;WO;;;;;X;Nein;Nein;;;;no;;;;yes;;;06:30 - 14:00;;JA;;JA;4099200045566;QCBDR+1DE282016;QCBDR<1DE282016035574;Sven Weber;;;;;;;AW;1;SdS
aktiv;;Grocery;Aldi Süd;;;;;52047065;52047065;52047065;ALDI SE & Co. KG Mahlberg;MAH;Rotackerstraße 19-51;77972;Mahlberg;Dariusz;08 - Baden-Württemberg;;DE30;DE59;;;Ja;06:21:00;48er;EDI;;;WO;;;;;X;Nein;Nein;;;;no;;;;yes;;;06:30 - 14:00;;JA;;JA;4099200045580;QCBDR+1DE319193;QCBDR<1DE319193306250;Sven Weber;;;;;;;MK;1;MH
inaktiv;;newChannels;Amazon;;;;;54090651;54064973;54090651;AMAZON;Amazon EU SARL;Max-Naumann-STR.1;28832;Achim;;;;DE11;;;;Nein;;;;;;;;;;;;;;;;;no;;;;;;;;;;;;;;;Sina Tuthwol;;;;;;;CK/MK/MH/AW/SdS/CD/CB/MR;0;MH
inaktiv;;newChannels;Amazon;;;;;54066076;54064973;54066076;AMAZON;Amazon Logistik GmbH;Am Schloss Eichhof 1;36251;Bad Hersfeld;;;;DE11;;;;Nein;;;;;;;;;;;;;;;;;no;;;;;;;;;;;;431028532013;;;Sina Tuthwol;;;;;;;CK/MK/MH/AW/SdS/CD/CB/MR;0;MR
inaktiv;;newChannels;Amazon;;;;;54066077;54064973;54066077;AMAZON;Amazon Logistik GmbH;"Amazonstrasse 1
Obere Kühnbach";36251;Bad Hersfeld;;;;DE11;;;;Nein;;;;;;;;;;;;;;;;;no;;;;;;;;;;;;;;;Sina Tuthwol;;;;;;;CK/MK/MH/AW/SdS/CD/CB/MR;0;SdS
inaktiv;;newChannels;Amazon;;;;;54090657;54064973;54090657;AMAZON;Amazon Logistik AF München GmbH;Am Borsigturm 100;13507;Berlin;;;;DE11;;;;Nein;;;;;;;;;;;;;;;;;no;;;;;;;;;;;;439990195557;;;Sina Tuthwol;;;;;;;CK/MK/MH/AW/SdS/CD/CB/MR;0;MH
inaktiv;;newChannels;Amazon;;;;;54090659;54064973;54090659;AMAZON;Amazon EU SARL c/o XDEK DHL Paket Außenlager DHL Paket, DHL Home Delivery GmbH;Senator-Nolting-Hauff-Straße 1-3;28197;Bremen;;;;DE11;;;;Nein;;;;;;;;;;;;;;;;;no;;;;;;;;;;;;40313001271;;;Sina Tuthwol;;;;;;;CK/MK/MH/AW/SdS/CD/CB/MR;0;CK/MK/MH/AW/SdS/CD/CB/MR
inaktiv;;newChannels;Amazon;;;;;54010640;54064973;54010640;AMAZON;Amazon Brieselang Gmbh;Havellandstr. 5;14656;Brieselang;;;;DE11;;;;Nein;;;;;;;;;;;;;;;;;no;;;;;;;;;;;;;;;Sina Tuthwol;;;;;;;CK/MK/MH/AW/SdS/CD/CB/MR;0;CK
inaktiv;;newChannels;Amazon;;;;;54064809;54064973;54064809;AMAZON;Amazon Logistik Dortmund GmbH;Kaltbandstraße 4;44145;Dortmund;;05 - Nordrhein-Westfalen;;DE11;;;;Nein;;;;;;;;;;;;;;;;;no;;;;;;;;;;;;;;;Sina Tuthwol;;;;;;;CK/MK/MH/AW/SdS/CD/CB/MR;0;CK
inaktiv;;newChannels;Amazon;;;;;54090156;54064973;54090156;AMAZON;Amazon Logistik Dortmund GmbH;Warmbreitbandstraße 3;44145;Dortmund;;05 - Nordrhein-Westfalen;;DE11;;;;Nein;;;;;;;;;;;;;;;;;no;;;;;;;;;;;;;;;Sina Tuthwol;;;;;;;CK/MK/MH/AW/SdS/CD/CB/MR;0;MK
